Hub,ZSP,Date,EnergyConsump,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Saturday,Sunday,Temp1_South_Less,Temp2_South_Less,Temp3_South_Less,Temp4_South_Less,Temp1_South_Gr,Temp2_South_Gr,Temp3_South_Gr,Temp4_South_Gr
Center,FZSZOE27,2010-01-01,147487.17100000003,-17.8,-16.9,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-04-29,151487.84,5.0,1.1,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-04-30,150162.47,11.5,5.1,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-11-16,167903.641,6.2,-1.1,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-11-17,170350.466,0.6,-5.6,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-11-18,168839.582,1.3,-6.5,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-11-19,170478.214,3.4,-6.9,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-11-20,161518.028,0.7,-7.8,,,,,,1.0,0.0,,,,,,,,
Center,FZSZOE27,2010-11-21,159989.94300000003,-0.5,-9.0,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-11-22,173783.75900000005,-2.0,-7.1,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-11-23,175413.31999999998,-2.7,-8.8,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-11-24,178220.316,-4.0,-8.7,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-11-25,181017.95500000002,-6.9,-10.0,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-11-26,184595.451,-8.3,-10.5,,,,,,0.0,0.0,,,,,,,,
